,Cluster.ID,Parent,TaxIDs,GIs,Genera,L.min,L.max,MAD,Defline.of.longest.sequence
136,136,232847,31,72,1,386,708,0.9167059008,"Pritchardia glabrata voucher Fairchild Tropical Garden DNA Bank 824 CISP5 gene, partial sequence"
156,156,4710,31,64,17,518,728,0.8491371909,"Hyphaene petersiana voucher OM1296 atpF-atpH intergenic spacer, partial sequence; chloroplast"
176,176,417013,31,51,6,615,819,0.9384232325,"Pritchardia schattaueri voucher Fairchild Tropical Garden DNA Bank 839 malate synthase gene, partial cds"
247,247,145670,31,37,1,651,761,0.9506694605,"Astrocaryum gynacanthum RNA polymerase II second largest subunit (rpb2) gene, intron 23, exon 23 and partial cds"
198,198,154466,30,45,1,955,1127,0.9470965198,"Bactris acanthocarpa trnQ-rps16 intergenic spacer, partial sequence; chloroplast"
223,223,145670,30,41,1,811,1073,0.9043938808,"Astrocaryum urostachys isolate JCP363 phytochrome B (PHYB) gene, exon 1 and partial cds"
250,250,115488,30,36,1,784,1622,0.9049527333,"Licuala kunstleri chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 1985-1497 (K)"
254,254,115488,30,35,1,406,801,0.7982165151,"Licuala spinosa RNA polymerase II second largest subunit (RPB2) gene, partial cds"
166,166,169736,29,58,4,261,411,0.9036831949,"Calamus sedens 5S rRNa gene (partial) including non-transcribed spacer, clone 2"
293,293,417012,29,30,8,636,683,0.9909224012,"Licuala grandis chloroplast DNA, psbB-psbF intergenic spacer region"
297,297,77338,29,30,1,882,960,0.9758333333,"Chamaedorea elegans voucher A. Cuenca AC29 (FTG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
298,298,77338,29,30,1,810,859,0.9802483508,"Chamaedorea oblongata rps16 gene, intron; chloroplast"
311,311,77338,29,29,1,341,405,0.9044699872,"Chamaedorea alternans voucher A. Cuenca AC37 (MEXU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
312,312,77338,29,29,1,255,305,0.8712266817,"Chamaedorea alternans voucher A. Cuenca AC37 (MEXU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
153,153,169707,28,64,5,356,936,0.8167067308,"Iriartella setigera voucher COL:R.Bernal 2607 serine/threonine protein kinase (CISP4) gene, partial sequence"
159,159,169707,28,62,5,278,671,0.7415989616,"Socratea rostrata voucher COL R. Bernal 2493 phosphoribulokinase-like protein 2 (PRK) gene, partial cds"
239,239,131270,28,38,1,574,663,0.923315075,"Gulubia cylindrocarpa phosphoribulokinase-like protein 2 (PRK) gene, exons 4, 5 and partial cds"
314,314,169700,28,28,7,303,518,0.9513927192,"Serenoa repens chloroplast trnL gene for tRNA-Leu, intron, paerial sequence"
315,315,417012,28,28,7,303,518,0.9513927192,"Serenoa repens chloroplast trnL gene for tRNA-Leu, intron, paerial sequence"
320,320,417012,28,28,7,303,518,0.9513927192,"Serenoa repens chloroplast trnL gene for tRNA-Leu, intron, paerial sequence"
146,146,169707,27,66,5,531,779,0.9414167347,"Wettinia praemorosa voucher COL:J.Betancur 7611 trnD-trnT intergenic spacer, partial sequence"
155,155,4710,27,64,7,340,400,0.96046875,"Wettinia hirsuta voucher COL:R.Bernal 2294 PetD (petD) gene, partial cds; petD-rpoA intergenic spacer, complete sequence; and RNA polymerase alpha subunit (rpoA) gene, partial cds; chloroplast"
158,158,4710,27,63,7,263,716,0.8835239869,"Iriartella setigera voucher COL:R.Bernal 4367 tRNA-Gly (trnG) gene, intron; chloroplast"
192,192,169743,27,46,4,381,540,0.9569645733,"Ravenea lakatra voucher Byg 26 (AAU) phosphoribulokinase (prk) gene, exons 4, 5 and partial cds"
227,227,131270,27,40,1,715,817,0.9583843329,"Hydriastele chaunostachys partial RPB2 gene for RNA Polymerase II second largest subunit, intron 23"
257,257,169703,27,35,14,293,591,0.9602127145,"Actinokentia divaricata partial rpoC1 gene for RNA polymerase C1, specimen voucher Pintaud 351 (K)"
271,271,169703,27,33,14,317,427,0.9506777376,"Howea belmoreana voucher Baker 1155 (K) psbK-psbI intergenic spacer, partial sequence; chloroplast"
285,285,169703,27,31,15,874,942,0.9768851449,"Dypsis lutescens isolate DYLU NADH dehydrogenase subunit F (ndhF) gene, partial cds; plastid"
310,310,77338,27,29,1,496,860,0.6025260626,"Chamaedorea microspadix genomic DNA containing partial trnL gene, trnL-trnF IGS, specimen voucher BH 60-811 (BH)"
313,313,169733,27,28,13,813,896,0.958984375,"Plectocomia mulleri chloroplast rps16 gene, partial, intron"
328,328,417012,27,27,6,503,548,0.9417410111,"Licuala grandis chloroplast DNA, psbZ-trnfM intergenic spacer region"
336,336,77338,27,27,1,321,337,0.9836245741,"Chamaedorea fragrans plastid tRNA-Leu gene, trnL-trnF IGS and tRNA-Phe gene (partial), specimen voucher A. Cuenca AC26, FTG"
337,337,417012,27,27,6,503,548,0.9417410111,"Licuala grandis chloroplast DNA, psbZ-trnfM intergenic spacer region"
170,170,169707,26,55,5,280,697,0.859762619,"Iriartella setigera voucher COL:R.Bernal 4367 CISP5 gene, partial sequence"
177,177,417010,26,51,10,650,1640,0.9179459589,"Itaya amicorum chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher Baker 990 (FTG)"
189,189,169707,26,48,5,311,958,0.8516875435,"Wettinia anomala voucher COL R. Bernal 4632 WRKY transcription factor 21 (WRKY21) gene, intron 1"
199,199,169743,26,44,4,896,927,0.9679317446,"Ceroxylon parvifrons voucher FB 645 (AAU) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
286,286,169703,26,31,14,338,526,0.9594627744,"Actinokentia divaricata partial rpoB gene for DNA-directed RNA polymerase subunit beta, specimen voucher Pintaud 351 (K)"
323,323,169733,26,27,13,859,1227,0.7572217694,"Daemonorops sp. TY-2016 voucher CPG SZFLB29 NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
326,326,169700,26,27,7,562,575,0.9799033816,"Livistona woodfordii chloroplast DNA, rpl20-rps12 intergenic spacer region"
329,329,417012,26,27,7,562,575,0.9799033816,"Livistona woodfordii chloroplast DNA, rpl20-rps12 intergenic spacer region"
338,338,417012,26,27,7,562,575,0.9799033816,"Livistona woodfordii chloroplast DNA, rpl20-rps12 intergenic spacer region"
160,160,169707,25,61,5,542,761,0.8725792206,"Iriartella stenocarpa voucher AAU:H.Balslev 7593 PsbK (psbK) gene, partial sequence; psbK-psbI intergenic spacer, PsbI (psbI) gene, and psbI-trnS intergenic spacer, complete sequence; and tRNA-Ser (trnS) gene, partial sequence"
161,161,169707,25,61,5,576,716,0.8908324938,"Iriartella setigera voucher COL:R.Bernal 4367 tRNA-Gly (trnG) gene, intron; chloroplast"
162,162,169707,25,61,5,542,761,0.8725792206,"Iriartella stenocarpa voucher AAU:H.Balslev 7593 PsbK (psbK) gene, partial sequence; psbK-psbI intergenic spacer, PsbI (psbI) gene, and psbI-trnS intergenic spacer, complete sequence; and tRNA-Ser (trnS) gene, partial sequence"
164,164,169726,25,59,5,495,1434,0.5196203579,"Astrocaryum alatum ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
258,258,169726,25,35,5,443,791,0.6268015171,"Desmoncus polyacanthos isolate PL90 WRKY transcription factor 16 (WRKY16) gene, intron"
259,259,169726,25,35,5,735,752,0.9954027356,"Bactris cf. maraja FTBG Acc. 84101H isolate PL113 WRKY transcription factor 6 (WRKY6) gene, intron"
260,260,169726,25,35,5,651,985,0.8501812908,"Bactris cf. maraja FTBG Acc. 84101H isolate PL113 WRKY transcription factor 21 (WRKY21) gene, partial sequence"
275,275,169726,25,33,5,713,800,0.9877651515,"Astrocaryum murumuru isolate PL108 WRKY transcription factor 12 (WRKY12) gene, partial cds"
279,279,169698,25,32,10,562,574,0.9989655923,"Metroxylon salomonense voucher Zona 651 K 30S ribosomal protein S3 gene, partial cds; plastid"
324,324,169733,25,27,13,269,363,0.9499030711,"Salacca ramosiana trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence"
330,330,169752,25,27,4,318,406,0.9600437876,"Livistona carinensis chloroplast DNA, trnL-trnF intergenic spacer region"
163,163,169707,24,60,5,340,400,0.9606666667,"Wettinia hirsuta voucher COL:R.Bernal 2294 PetD (petD) gene, partial cds; petD-rpoA intergenic spacer, complete sequence; and RNA polymerase alpha subunit (rpoA) gene, partial cds; chloroplast"
175,175,417012,24,51,17,411,621,0.8549145906,"Brahea brandegeei isolate BB_3 tRNA-Leu (trnL) gene and trnL-trnF intergenic spacer, partial sequence; plastid"
188,188,169707,24,48,5,261,617,0.6715626688,"Wettinia radiata voucher COL:R.Bernal 4873 MADS box transcription factor (AG1) gene, partial sequence"
236,236,169707,24,39,5,445,876,0.8223861375,"Wettinia longipetala voucher AAU:H. Balslev 6545 RNA polymerase II second largest subunit (RPB2) gene, partial cds"
288,288,169698,24,30,10,721,766,0.9711923412,"Eugeissona tristis voucher Baker 501 K atpH-atpI intergenic spacer, partial sequence; plastid"
294,294,115488,24,30,1,375,798,0.7700083542,"Licuala peltata var. sumawongii voucher FTG Live Collection 70320G (DNA Bank 207) serine/threonine protein kinase (CISP4) gene, partial sequence"
304,304,169703,24,29,13,656,716,0.9349354652,"Howea belmoreana voucher Baker 1155 (K) atpF-atpH intergenic spacer, partial sequence; chloroplast"
217,217,169698,23,41,4,261,411,0.9220224319,"Calamus sedens 5S rRNa gene (partial) including non-transcribed spacer, clone 2"
219,219,169733,23,41,4,261,411,0.9220224319,"Calamus sedens 5S rRNa gene (partial) including non-transcribed spacer, clone 2"
220,220,169736,23,41,4,261,411,0.9220224319,"Calamus sedens 5S rRNa gene (partial) including non-transcribed spacer, clone 2"
226,226,115490,23,40,1,737,922,0.8611713666,"Livistona speciosa chloroplast trnD gene, partial sequence; trnY and trnE genes, complete sequence; and trnE-trnT intergenic spacer region, partial sequence"
241,241,154466,23,38,1,322,402,0.9634721131,"Bactris riparia voucher AAU 44381 tRNA-Asp (trnD) gene, partial sequence; trnD-trnY intergenic spacer, tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
281,281,169743,23,32,4,784,1700,0.9671691176,"Ravenea julietiae voucher Baker 1014 (K) trnK gene, intron; and matK pseudogene, complete sequence; chloroplast"
289,289,169743,23,30,4,354,406,0.8763546798,"Ceroxylon parvifrons voucher FB 645 (AAU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
300,300,169698,23,29,9,256,355,0.8582807188,"Lepidocaryum tenue psbZ-trnG intergenic spacer, partial sequence; and tRNA-Gly (trnG) gene, complete sequence; plastid"
302,302,169743,23,29,4,253,303,0.8409013315,"Ceroxylon parvifrons voucher FB 645 (AAU) trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
316,316,115488,23,28,1,700,792,0.9848033911,"Licuala bachmaensis voucher A.J. Henderson et al. 3254, Vietnam (NY) malate synthase gene, partial cds"
208,208,4711,22,42,1,261,411,0.9025605376,"Calamus sedens 5S rRNa gene (partial) including non-transcribed spacer, clone 2"
268,268,115490,22,34,1,700,792,0.923536839,"Livistona australis voucher J.L. Dowe 313 (FTG) malate synthase gene, partial cds"
301,301,169734,22,29,7,562,574,0.9991589571,"Mauritia flexuosa voucher Couvreur 194 NY 30S ribosomal protein S3 gene, partial cds; plastid"
365,365,169752,22,23,2,678,683,0.9929976447,"Licuala grandis chloroplast DNA, psbB-psbF intergenic spacer region"
383,383,169752,22,22,2,515,548,0.9426011944,"Licuala grandis chloroplast DNA, psbZ-trnfM intergenic spacer region"
384,384,169752,22,22,2,497,501,0.996007984,"Livistona alfredii chromoplast trnL gene for tRNA-Leu, intron, paerial sequence"
387,387,169703,22,22,20,1453,1497,0.998117447,"Dypsis lastelliana ATP synthase beta subunit (atpB) gene, complete cds; chloroplast gene for chloroplast product"
88,88,4710,21,99,19,402,785,0.6833944541,TSA: Elaeis guineensis isotig07794.Elguifruit mRNA sequence
245,245,169726,21,37,3,460,745,0.9265372755,"Bactris major voucher FTG:Noblick 4942 WRKY transcription factor 7 (WRKY7) gene, exons 1 through 3 and partial cds"
253,253,232847,21,35,1,615,819,0.948124891,"Pritchardia schattaueri voucher Fairchild Tropical Garden DNA Bank 839 malate synthase gene, partial cds"
321,321,169734,21,27,7,721,761,0.9753248649,"Raphia palma-pinus voucher Ouattara & Stauffer 14 G atpH-atpI intergenic spacer, partial sequence; plastid"
322,322,169734,21,27,7,256,355,0.8548774126,"Lepidocaryum tenue psbZ-trnG intergenic spacer, partial sequence; and tRNA-Gly (trnG) gene, complete sequence; plastid"
366,366,115490,21,23,1,348,406,0.9807239238,"Livistona carinensis chloroplast DNA, trnL-trnF intergenic spacer region"
385,385,115490,21,22,1,678,678,1,"Livistona alfredii chloroplast DNA, psbB-psbF intergenic spacer region"
399,399,115490,21,21,1,515,516,0.9981543005,"Livistona lorophylla chloroplast DNA, psbZ-trnfM intergenic spacer region"
400,400,115490,21,21,1,497,501,0.996007984,"Livistona alfredii chromoplast trnL gene for tRNA-Leu, intron, paerial sequence"
272,272,169716,20,33,4,412,640,0.753219697,"Howea forsteriana partial prk gene intron 4, specimen voucher Baker 1156 (K)"
273,273,169716,20,33,4,600,977,0.8653577743,"Linospadix minor partial rpbII gene intron 23, specimen voucher 1988-2450 (K)"
276,276,154466,20,33,1,254,305,0.9154495777,"Bactris rhaphidacantha voucher Perez 878 trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
290,290,169743,20,30,4,547,793,0.8632198403,"Ceroxylon quindiuense RPB2 gene, intron 23, clone 1"
388,388,169703,20,22,17,1708,1766,0.9825748996,"Calyptrocalyx stenocrista 18S small subunit ribosomal RNA gene, partial sequence"
395,395,169700,20,21,17,1400,1497,0.9904571047,"Caryota mitis ATP synthase beta subunit (atpB) gene, complete cds; chloroplast gene for chloroplast product"
398,398,169752,20,21,2,562,564,0.9981425194,"Livistona jenkinsiana chloroplast DNA, rpl20-rps12 intergenic spacer region"
193,193,131304,19,46,1,531,779,0.9376569738,"Wettinia praemorosa voucher COL:J.Betancur 7611 trnD-trnT intergenic spacer, partial sequence"
197,197,131304,19,45,1,278,654,0.7392456677,"Wettinia hirsuta voucher Baker 991 (BH) phosphoribulokinase protein 2 (PRK) gene, exons 4, 5 and partial cds"
211,211,169746,19,42,8,518,1443,0.7596772597,"Borassus flabellifer ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
261,261,145670,19,35,1,1048,1121,0.961437492,"Astrocaryum chambira trnQ-rps16 intergenic spacer, partial sequence; chloroplast"
282,282,169746,19,32,8,405,715,0.6833479021,"Borassus flabellifer phosphoribulokinase-like (PRK) gene, partial sequence"
308,308,169726,19,29,5,369,615,0.8732268012,"Bactris major isolate AGA-B1 MADS box transcription factor (AG1) gene, partial cds"
331,331,169746,19,27,8,605,845,0.9024764409,"Borassus akeassii partial rpb2 gene, intron 23, specimen voucher Bayton et al 68 (K)"
375,375,115519,19,22,1,609,747,0.9822928076,"Syagrus schizophylla voucher IPA:Noblick 5134 WRKY transcription factor 7 (WRKY7) gene, exons 1 through 3 and partial cds"
376,376,115519,19,22,1,346,401,0.940036273,"Syagrus botryophora voucher FTG:Noblick 5002 WRKY transcription factor 19 (WRKY19) gene, intron 1 and partial cds"
377,377,115519,19,22,1,686,748,0.9948954789,"Syagrus campylospatha voucher FTG:Noblick 5128 WRKY6 gene, intron 1"
378,378,115519,19,22,1,790,861,0.958452117,"Syagrus sancona voucher FTG:Noblick 5514 WRKY transcription factor 21 (WRKY21) gene, intron 1"
397,397,417012,19,21,16,771,988,0.8887603624,"Trachycarpus fortunei chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
409,409,115490,19,20,1,562,564,0.9981382979,"Livistona jenkinsiana chloroplast DNA, rpl20-rps12 intergenic spacer region"
416,416,169700,19,19,16,1614,1758,0.982336387,"Sabal domingensis 18S small subunit ribosomal RNA gene, partial sequence"
421,421,169703,19,19,12,363,404,0.957139135,"Howea belmoreana voucher K:Baker1153 5.8S ribosomal RNA gene, partial sequence; internal transcribed spacer 2, complete sequence; and 26S ribosomal RNA gene, partial sequence"
96,96,417013,18,95,8,462,1428,0.5043859649,"Pritchardiopsis jennencyi ribulose bisphosphate carboxylase large subunit (rbcL) gene, partial cds; chloroplast gene for chloroplast product"
178,178,115442,18,51,1,482,1434,0.4751688681,"Arenga pinnata ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
186,186,169746,18,49,8,409,586,0.8930486871,"Hyphaene petersiana chloroplast tRNA-Leu gene (partial), trnL-trnF intergenic spacer and tRNA-Phe gene (partial), specimen voucher Fantz 3449 (FTG)"
222,222,131304,18,41,1,468,865,0.9130128296,"Wettinia anomala voucher COL:R.Bernal 2196 serine/threonine protein kinase (CISP4) gene, partial sequence"
228,228,169706,18,40,6,472,1443,0.5273908524,"Geonoma oxycarpa ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
343,343,154466,18,26,1,698,1620,0.7094491928,"Bactris gasipaes chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher C. E. Lewis 02-027 (FTG)"
346,346,4710,18,25,13,351,966,0.6710559006,"Ravenea hildebrandtii cytochrome c heme attachment protein (ccsA) gene, partial cds; plastid"
351,351,169746,18,24,8,313,357,0.9568160598,"Hyphaene coriacea chloroplast tRNA-Leu gene (partial), trnL-trnF intergenic spacer and tRNA-Phe gene (partial), specimen voucher Fantz 3441 (FTG)"
352,352,169746,18,24,8,306,370,0.9227477477,"Latania lontaroides chloroplast trnD-trnY intergenic spacer, tRNA-Tyr gene, trnY-trnE intergenic spacer, tRNA-Glu gene, trnE-trnT intergenic spacer, specimen voucher Zona 916 (FTG)"
353,353,169746,18,24,8,759,872,0.9485856269,"Borassodendron machadonis chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
368,368,169746,18,23,8,664,812,0.9421182266,"Hyphaene thebaica chloroplast atpB-rbcL intergenic spacer, specimen voucher Cult. K (1994-3803)"
393,393,115519,18,21,1,291,331,0.9631707668,"Syagrus amara voucher NY:Hahn 7649 WRKY transcription factor 2 (WRKY2) gene, exons 1, 2 and partial cds"
394,394,115519,18,21,1,407,501,0.9552323924,"Syagrus sancona voucher FTG:Noblick 5514 WRKY transcription factor 16 (WRKY16) gene, intron 1"
408,408,115490,18,20,1,677,1545,0.9216504854,"Livistona jenkinsiana voucher A.J. Henderson et al. 3232, Vietnam (NY) tRNA-Lys (trnK) gene, partial sequence; and maturase K (matK) gene, complete cds; chloroplast"
419,419,115490,18,19,1,836,941,0.9430616925,"Livistona australis voucher J. L. Dowe 313 (FTG) NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
435,435,145705,18,18,1,994,1002,0.996839654,"Ptychosperma salomonense voucher K:Gardiner 293 NADH dehydrogenase subunit 1 (ndhA) gene, partial cds; chloroplast"
437,437,145705,18,18,1,598,613,0.9770708719,"Ptychosperma sp. SN-2014 voucher K:Heatubun 1125 30S ribosomal protein S15 (rps15) and ycf1 protein (ycf1) genes, partial cds; chloroplast"
438,438,145705,18,18,1,447,506,0.9183135705,"Ptychosperma burretianum voucher FTG:Zona & Lewis 867 MADS box transcription factor (AG1) gene, partial cds"
445,445,4710,18,18,4,378,1296,0.5964934842,"Astrocaryum scopatum 4.5S ribosomal RNA (rrn4.5) gene, partial sequence; 5S ribosomal RNA (rrn5) and tRNA-Arg (trnR-ACG) genes, complete sequence; and tRNA-Asn (trnN-GUU) gene, partial sequence; chloroplast"
187,187,417009,17,48,1,402,668,0.9400261976,"Sabal causiarum clone 2 phosphoribulokinase-like protein 2-like (PRK) gene, partial sequence"
202,202,131304,17,44,1,340,400,0.9599431818,"Wettinia hirsuta voucher COL:R.Bernal 2294 PetD (petD) gene, partial cds; petD-rpoA intergenic spacer, complete sequence; and RNA polymerase alpha subunit (rpoA) gene, partial cds; chloroplast"
203,203,131304,17,44,1,542,737,0.8973109658,"Wettinia microcarpa voucher COL:R.Bernal 4831 PsbK (psbK) gene, partial sequence; psbK-psbI intergenic spacer, PsbI (psbI) gene, and psbI-trnS intergenic spacer, complete sequence; and tRNA-Ser (trnS) gene, partial sequence"
204,204,131304,17,44,1,576,711,0.8856284363,"Wettinia hirsuta voucher COL:R.Bernal 4737 tRNA-Gly (trnG) gene, intron; chloroplast"
232,232,169698,17,39,13,461,575,0.8798216276,Eremospatha macrocarpa chloroplast DNA for trnL-trnF intergenic spacer
234,234,115442,17,39,1,776,1631,0.5364806867,"Arenga hookeriana chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 085-85.01492 (K)"
235,235,115442,17,39,1,423,775,0.8450951199,"Arenga retroflorescens voucher SAN 149921 psbA-trnH intergenic spacer, partial sequence; chloroplast"
284,284,131304,17,32,1,311,958,0.8637460856,"Wettinia anomala voucher COL R. Bernal 4632 WRKY transcription factor 21 (WRKY21) gene, intron 1"
287,287,145670,17,31,1,534,729,0.9685826806,"Astrocaryum macrocalyx haplotype U WRKY transcription factor 7 (WRKY7) gene, exons 1 through 3 and partial cds"
318,318,169709,17,28,3,362,734,0.7291261191,"Areca concinna phosphoribulokinase-like (PRK) gene, partial sequence"
347,347,169735,17,24,3,562,574,0.9989837398,"Oncocalamus macrospathus voucher Valkenburg 2628 WAG 30S ribosomal protein S3 gene, partial cds; plastid"
348,348,169735,17,24,3,279,279,1,"Oncocalamus macrospathus voucher Valkenburg 2628 WAG rps19 (rps19) gene, complete cds; psbA-trnH intergenic spacer, complete sequence; and tRNA-His (trnH) gene, partial sequence; plastid"
374,374,115444,17,22,1,399,704,0.8782283058,"Attalea phalerata clone A1 phosphoribulokinase-like protein 2 (PRK) gene, exons 4, 5 and partial cds"
403,403,145705,17,21,1,373,604,0.9461526332,"Ptychosperma salomonense phosphoribulokinase-like protein 2 (PRK) gene, exons 4, 5 and partial cds"
407,407,169700,17,20,7,825,1135,0.9320704846,"Borassus flabellifer chloroplast trnQ-rps16 intergenic spacer, complete sequence; and ribosomal protein S16 gene, partial cds"
423,423,154481,17,19,1,444,516,0.8709710322,"Heterospathe longipes partial prk gene for phosphoribulokinase, exons 4-5, specimen voucher Zona 1039"
436,436,145705,17,18,1,1622,1676,0.9982100239,"Ptychosperma waitianum voucher K:Gardiner 292 trnK gene, partial sequence; and matK pseudogene, complete sequence"
453,453,115490,17,17,1,453,612,0.9112841215,"Livistona jenkinsiana voucher A.J. Henderson 3232 (NY) CISP5 gene, partial sequence"
460,460,145705,17,17,1,314,315,0.9970121382,"Ptychosperma salomonense voucher K:Gardiner 293 beta-carotene hydroxylase gene, partial cds"
249,249,169754,16,36,5,651,1622,0.8293259351,"Guihaia argyrata chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher 1984-4470 (K)"
274,274,131304,16,33,1,280,694,0.8621081128,"Wettinia augusta voucher AAU:H.Balslev 7355 CISP5 gene, partial sequence"
277,277,145670,16,33,1,436,848,0.6008790738,"Astrocaryum murumuru isolate ASMU tRNA-Leu (trnL) gene, partial sequence; trnL-trnF intergenic spacer, complete sequence; and tRNA-Phe (trnF) gene, partial sequence; plastid"
296,296,131304,16,30,1,261,617,0.6512155592,"Wettinia radiata voucher COL:R.Bernal 4873 MADS box transcription factor (AG1) gene, partial sequence"
306,306,169708,16,29,5,810,867,0.9716422066,"Archontophoenix purpurea chloroplast partial rps16 gene for ribosomal protein S16, exon 2"
307,307,131304,16,29,1,281,876,0.7422059518,"Wettinia longipetala voucher AAU:H. Balslev 6545 RNA polymerase II second largest subunit (RPB2) gene, partial cds"
342,342,169708,16,26,5,622,1622,0.898155174,"Actinorhytis calapparia chloroplast matK pseudogene (partial), and trnK gene (partial), intron, specimen voucher C. E. Lewis 97-011 (FTG)"
350,350,169754,16,24,5,676,860,0.9223837209,"Trachycarpus martianus voucher NTBG Live Collection 70531 tRNA-Asp (tnrD), tRNA-Tyr (trnY), and tRNA-Glu (trnE) genes and trnE-trnT intergenic spacer, complete sequence; chloroplast"
359,359,145670,16,24,1,671,1542,0.8713521401,"Astrocaryum huaimi isolate ASHU maturase K (matK) gene, complete cds; plastid"
364,364,169754,16,23,5,840,934,0.9544735127,"Rhapis multifida voucher L. B. Zhang s.n. NADH dehydrogenase subunit F (ndhF) gene, partial cds; chloroplast"
367,367,417010,16,23,9,430,1476,0.7754801461,"Chelyocarpus repens ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
379,379,169735,16,22,3,721,751,0.9852318121,"Laccosperma secundiflorum voucher Ouattara & Stauffer 12 G atpH-atpI intergenic spacer, partial sequence; plastid"
380,380,169735,16,22,3,256,311,0.9643379129,"Eremospatha macrocarpa voucher Couvreur 399 K psbZ-trnG intergenic spacer, partial sequence; and tRNA-Gly (trnG) gene, complete sequence; plastid"
389,389,169708,16,22,5,317,411,0.9891616899,"Actinokentia huerlimannii genomic DNA containing psbK-psbI IGS, specimen voucher Pintaud 465 (NOU)"
390,390,169708,16,22,5,572,591,0.9985386864,"Actinokentia divaricata partial rpoC1 gene for RNA polymerase C1, specimen voucher Pintaud 351 (K)"
410,410,417009,16,20,1,638,729,0.898696845,"Sabal minor voucher USBG 01-1635 psbA-trnH intergenic spacer, partial sequence; chloroplast"
412,412,169726,16,20,5,734,941,0.934272051,"Gastrococos crispa chloroplast trnD gene, partial sequence; trnY and trnE genes, complete sequence; and trnE-trnT intergenic spacer region, partial sequence"
413,413,145670,16,20,1,253,289,0.9385813149,"Astrocaryum javarense voucher JCP308 trnD-trnY intergenic spacer, partial sequence; tRNA-Tyr (trnY) gene, trnY-trnE intergenic spacer, and tRNA-Glu (trnE) gene, complete sequence; and trnE-trnT intergenic spacer, partial sequence; chloroplast"
424,424,169722,16,19,12,1289,1434,0.9743815606,"Veitchia sessilifolia ribulose bisphosphate carboxylase large subunit (rbcL) gene, complete cds; chloroplast gene for chloroplast product"
426,426,115444,16,18,1,591,703,0.9706812075,"Attalea maripa isolate A04 WRKY12 pseudogene, partial sequence"
427,427,115519,16,18,1,267,283,0.9943070279,"Syagrus amara voucher NY:Hahn 7649 WRKY transcription factor 12 (WRKY12) gene, exons 1, 2 and partial cds"
441,441,169708,16,18,5,874,920,0.9964975845,"Actinokentia divaricata partial ndhF gene for chloroplast NADH dehydrogenase F, specimen voucher Pintaud 351 (K)"
447,447,169698,16,17,12,284,322,0.9501278772,Eremospatha wendlandiana chloroplast DNA for trnL-trnF intergenic spacer
467,467,115444,16,16,1,409,415,0.9891566265,"Attalea funifera psbK-psbI intergenic spacer, partial sequence; Photosystem II protein I (psbI) gene, complete cds; and tRNA-Ser (trnS-GCU) gene, partial sequence; chloroplast"
468,468,115444,16,16,1,363,780,0.8282852564,"Attalea weberbaueri serine/threonine protein kinase (CISP4) gene, partial sequence"
